pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.13.0-1
pacman-mirrorlist 20250702-2
pam 1.7.1-1
pambase 20250719-1
pango 1:1.56.4-1
pangomm 2.46.4-1
paru 2.1.0-1
passt 2025_08_05.309eefd-1
patch 2.8-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.46-1
pcsclite 2.3.3-1
pdftk 3.3.3-4
perl 5.42.0-1
perl-clone 0.47-2
perl-curses 1.45-3
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-file-listing 6.16-5
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.00-2
perl-http-negotiate 6.01-15
perl-io-html 1.004-7
perl-libwww 6.79-2
perl-lwp-mediatypes 6.04-7
perl-mailtools 2.22-2
perl-net-http 6.23-5
perl-term-animation 2.6-13
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-uri 5.32-2
perl-www-robotrules 6.02-15
perl-xml-parser 2.47-3
perl-xml-writer 0.900-5
php 8.4.12-1
php-sqlite 8.4.12-1
pinentry 1.3.2-2
pipewire 1:1.4.7-1
pipewire-alsa 1:1.4.7-1
pipewire-audio 1:1.4.7-1
pipewire-jack 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
pixman 0.46.4-1
pkcs11-helper 1.30.0-2
pkgconf 2.5.1-1
podman 5.6.0-1
podman-compose 1.5.0-1
polkit 126-2
poppler 25.08.0-1
poppler-data 0.4.12-2
poppler-glib 25.08.0-1
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.5-3
protobuf 32.0-1
protobuf-c 1.5.2-5
protonup-qt-bin 2.13.0-1
psmisc 23.7-1
pugixml 1.15-2
python 3.13.7-1
python-attrs 25.3.0-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.3-1
python-click 8.2.1-1
python-contourpy 1.3.3-1
python-cryptography 45.0.6-1
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-defusedxml 0.7.1-7
python-dotenv 1.1.1-1
python-filelock 3.19.1-1
python-fonttools 4.59.2-1
python-gobject 3.52.3-3
python-greenlet 3.2.4-1
python-idna 3.10-2
python-kiwisolver 1.4.7-1
python-markdown-it-py 4.0.0-1
python-matplotlib 3.10.5-1
python-mdurl 0.1.2-8
python-msgpack 1.0.5-3
python-multidict 6.6.4-1
python-numpy 2.3.2-1
python-packaging 25.0-1
python-pillow 11.3.0-1
python-pip 25.2-1
python-protobuf 32.0-1
python-pycparser 2.22-3
python-pygments 2.19.2-1
python-pynvim 0.5.2-1
python-pyparsing 3.2.3-1
python-pysocks 1.7.1-10
python-requests 2.32.5-1
python-requests-toolbelt 1.0.0-3
python-rich 14.1.0-1
python-six 1.17.0-1
python-tqdm 4.67.1-2
python-urllib3 2.5.0-1
python-wheel 0.45.1-1
python-yaml 6.0.2-2
qhull 2020.2-5
qpdf 12.2.0-1
qt6-base 6.9.2-1
qt6-declarative 6.9.2-1
qt6-svg 6.9.2-1
qt6-translations 6.9.2-1
qt6-wayland 6.9.2-1
raptor 2.0.16-8
rav1e 0.7.1-1
re2 1:20240702-7
readline 8.3.001-1
recode 3.7.15-1
reflector 2023-3
rhash 1.4.4-1
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
rustup 1.28.2-3
sbc 2.1-1
sdbus-cpp 2.1.0-2
sdl2-compat 2.32.56-2
sdl3 3.2.20-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
serd 0.32.4-1
shaderc 2025.3-1
shadow 4.18.0-1
shared-mime-info 2.4-2
simdjson 1:3.13.0-1
slang 2.3.3-4
slurp 1.5.0-1
smbclient 2:4.22.4-1
snappy 1.2.2-2
sord 0.16.18-1
speedtest-cli 2.1.3-9
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.321.0-1
sqlite 3.50.4-1
sratom 0.6.18-1
srt 1.5.4-1
steam 1.0.0.82-2
sudo 1.9.17.p2-1
suitesparse 7.11.0-1
svt-av1 3.1.2-1
sword 1.9.0-16
sxiv 26-2
systemd 257.8-2
systemd-libs 257.8-2
systemd-sysvcompat 257.8-2
taglib 2.1.1-1
talloc 2.4.3-1
tar 1.35-2
tdb 1.4.14-1
tesseract 5.5.1-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.17.1-1
texinfo 7.2-1
tinysparql 3.9.2-2
tmux 3.5_a-1
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.25.8-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.0-1
tree-sitter-query 0.6.2-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-liberation 2.1.5-2
tzdata 2025b-1
unibilium 2.1.2-1
unzip 6.0-23
usbutils 018-1
util-linux 2.41.1-1
util-linux-libs 2.41.1-1
v4l-utils 1.30.1-1
vamp-plugin-sdk 2.10.0-3
vapoursynth 72-1
vid.stab 1.1.1-2
vivaldi 7.5.3735.66-1
vivaldi-ffmpeg-codecs 138.0.7204.188-1
vmaf 3.0.0-1
vulkan-icd-loader 1.4.321.0-1
vulkan-radeon 1:25.2.1-5
vulkan-tools 1.4.321.0-1
vulscan 2.0-5
wayland 1.24.0-1
wayland-protocols 1.45-1
webkit2gtk-4.1 2.48.5-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-2
which 2.23-1
whois 5.6.4-1
wireplumber 0.5.10-1
wl-clipboard 1:2.2.1-3
woff2 1.0.2-6
wofi 1.5.1-1
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-3
x265 4.1-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-wlr 0.7.1-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xiphos 4.3.2-2
xkeyboard-config 2.45-1
xorg-fonts-encodings 1.1.0-1
xorg-server-common 21.1.18-2
xorg-setxkbmap 1.3.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkill 1.0.6-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.8-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yajl 2.1.0-6
yyjson 0.12.0-1
zathura 0.5.12-1
zathura-cb 0.1.11-5
zathura-djvu 0.2.10-5
zathura-pdf-mupdf 0.4.4-22
zathura-ps 0.2.8-6
zed 0.201.8-1
zenity 4.1.99-2
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zram-generator 1.2.1-1
zstd 1.5.7-2
